item_id,dept_id,cat_id,total_sales,average_daily_sales,median_daily_sales,zero_sales_pct,active_days,average_price
FOODS_3_090,FOODS_3,FOODS,128855,66.3858835651728,62,24.16280267903143,1472,1.3849510561566194
FOODS_3_586,FOODS_3,FOODS,88846,45.77331272539924,43,0.36063884595569295,1934,1.5945285935084994
FOODS_3_252,FOODS_3,FOODS,76055,39.18341061308606,35,0.3091190108191654,1935,1.5194126738794427
FOODS_3_120,FOODS_3,FOODS,63107,32.5126223596085,30,34.363730036063885,1274,4.98
FOODS_3_714,FOODS_3,FOODS,54617,28.13858835651733,25,0.36063884595569295,1934,1.5230190623390008
FOODS_3_587,FOODS_3,FOODS,52356,26.97372488408026,27,23.44152498712004,1486,2.5586192684183415
FOODS_3_808,FOODS_3,FOODS,46094,23.74755280783112,18,21.277691911385883,1528,1.0006491499227201
FOODS_2_197,FOODS_2,FOODS,41312,21.283874291602295,20,8.191653786707882,1782,3.228572900566719
FOODS_3_080,FOODS_3,FOODS,39673,20.439464193714514,20,0.3091190108191654,1935,1.5945285935084994
FOODS_3_555,FOODS_3,FOODS,38446,19.80731581658939,19,0.3091190108191654,1935,1.5945285935084994
FOODS_3_541,FOODS_3,FOODS,36420,18.763523956723258,14,21.483771251931994,1524,1.0006491499227201
FOODS_3_741,FOODS_3,FOODS,35820,18.45440494590416,16,6.388459556929418,1817,1.330453374549201
FOODS_2_019,FOODS_2,FOODS,35716,18.40082431736223,17,8.346213292117465,1779,3.228861411643483
FOODS_3_635,FOODS_3,FOODS,34681,17.86759402369921,12,24.626481195260176,1463,1.000432766615147
FOODS_3_099,FOODS_3,FOODS,33604,17.31272539927871,17,4.739824832560536,1849,2.4972388831437433
FOODS_3_681,FOODS_3,FOODS,33533,17.27614631633173,13,9.222050489438434,1762,1.1053065430190638
FOODS_3_318,FOODS_3,FOODS,32973,16.98763523956711,12,29.82998454404946,1362,1.3192272024729503
FOODS_3_202,FOODS_3,FOODS,31825,16.39618753219988,16,10.870685213807315,1730,4.320443070582176
FOODS_3_282,FOODS_3,FOODS,29891,15.399793920659256,7,48.99536321483771,990,2.5045974781765277
FOODS_3_694,FOODS_3,FOODS,29362,15.127253992787201,14,0.41215868109222054,1933,1.6046264811952604
FOODS_3_491,FOODS_3,FOODS,29211,15.049459041731042,14,24.52344152498712,1465,1.3826790314270985
FOODS_3_501,FOODS_3,FOODS,29004,14.942812982998435,13,13.49819680577022,1679,0.8178155589902113
FOODS_3_723,FOODS_3,FOODS,28840,14.858320453374516,13,23.956723338485318,1476,1.3808397733127238
FOODS_3_295,FOODS_3,FOODS,28691,14.781555899021136,13,12.673879443585781,1695,0.8181761978361669
FOODS_3_319,FOODS_3,FOODS,28434,14.649149922720184,11,19.68057702215353,1559,1
FOODS_3_064,FOODS_3,FOODS,27281,14.055126223596082,12,24.987120041215867,1456,1.1372008781558718
FOODS_3_607,FOODS_3,FOODS,27236,14.031942297784697,12,30.6543019062339,1346,2.2571718452758414
FOODS_2_276,FOODS_2,FOODS,26772,13.79289026275106,12,9.788768675940238,1751,3.228861411643483
FOODS_3_785,FOODS_3,FOODS,26211,13.50386398763526,10,13.137557959814528,1686,3.1485110767645543
FOODS_2_347,FOODS_2,FOODS,25385,13.07831014940749,12,5.873261205564142,1827,2.020623390005152
FOODS_2_360,FOODS_2,FOODS,25054,12.907779495105775,11,27.04791344667697,1416,0.8585677485832061
FOODS_3_744,FOODS_3,FOODS,23568,12.14219474497682,12,7.8825347758887165,1788,2.078763523956723
FOODS_3_755,FOODS_3,FOODS,23374,12.0422462648119,10,24.935600206079343,1457,1.0514374034003091
FOODS_3_281,FOODS_3,FOODS,23242,11.974240082431754,9,34.15765069551777,1278,1.2238314374353672
HOBBIES_1_348,HOBBIES_1,HOBBIES,23006,11.852653271509512,7,20.607934054611025,1541,0.4759608449252963
HOBBIES_1_371,HOBBIES_1,HOBBIES,22891,11.793405461102514,8,19.165378670788254,1569,0.4759608449252963
FOODS_1_218,FOODS_1,FOODS,22656,11.67233384853167,10,5.306543019062339,1838,0.9813704276146317
