date,store_id,state_id,cat_id,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_ca,is_event,is_weekend,units_sold,revenue,average_price,active_items
2011-01-29,CA_1,CA,FOODS,Saturday,1,1,2011,NA,NA,NA,NA,0,0,1,3239,7240.64999999999,2.279398451459198,509
2011-01-29,CA_1,CA,HOBBIES,Saturday,1,1,2011,NA,NA,NA,NA,0,0,1,556,1369.9100000000008,2.707911392405065,118
2011-01-29,CA_1,CA,HOUSEHOLD,Saturday,1,1,2011,NA,NA,NA,NA,0,0,1,542,2322.6000000000004,4.683193277310908,210
2011-01-30,CA_1,CA,FOODS,Sunday,2,1,2011,NA,NA,NA,NA,0,0,1,3137,6705.510000000003,2.2185519125683046,471
2011-01-30,CA_1,CA,HOBBIES,Sunday,2,1,2011,NA,NA,NA,NA,0,0,1,498,907.6400000000004,2.2574074074074097,98
2011-01-30,CA_1,CA,HOUSEHOLD,Sunday,2,1,2011,NA,NA,NA,NA,0,0,1,520,2173.910000000001,4.683694083694066,209
2011-01-31,CA_1,CA,FOODS,Monday,3,1,2011,NA,NA,NA,NA,0,0,0,2008,4584.850000000002,2.424645917907082,419
2011-01-31,CA_1,CA,HOBBIES,Monday,3,1,2011,NA,NA,NA,NA,0,0,0,415,937.6400000000001,2.693333333333336,87
2011-01-31,CA_1,CA,HOUSEHOLD,Monday,3,1,2011,NA,NA,NA,NA,0,0,0,393,1678.890000000003,4.803616666666654,175
2011-02-01,CA_1,CA,FOODS,Tuesday,4,2,2011,NA,NA,NA,NA,1,0,0,2258,4965.460000000001,2.3026418946508778,437
2011-02-01,CA_1,CA,HOBBIES,Tuesday,4,2,2011,NA,NA,NA,NA,1,0,0,392,779.9700000000001,2.662545090180364,87
2011-02-01,CA_1,CA,HOUSEHOLD,Tuesday,4,2,2011,NA,NA,NA,NA,1,0,0,401,1662.3100000000015,4.746408566721571,176
2011-02-02,CA_1,CA,FOODS,Wednesday,5,2,2011,NA,NA,NA,NA,1,0,0,2032,4368.070000000004,2.2989711751662973,405
2011-02-02,CA_1,CA,HOBBIES,Wednesday,5,2,2011,NA,NA,NA,NA,1,0,0,268,673.9300000000004,3.1016052631578974,82
2011-02-02,CA_1,CA,HOUSEHOLD,Wednesday,5,2,2011,NA,NA,NA,NA,1,0,0,330,1524.1200000000024,5.062088724584095,171
2011-02-03,CA_1,CA,FOODS,Thursday,6,2,2011,NA,NA,NA,NA,1,0,0,2407,5247.420000000002,2.300253748558245,434
2011-02-03,CA_1,CA,HOBBIES,Thursday,6,2,2011,NA,NA,NA,NA,1,0,0,467,989.9800000000004,2.608142857142859,101
2011-02-03,CA_1,CA,HOUSEHOLD,Thursday,6,2,2011,NA,NA,NA,NA,1,0,0,402,1708.3300000000033,4.8268438538205825,182
2011-02-04,CA_1,CA,FOODS,Friday,7,2,2011,NA,NA,NA,NA,1,0,0,2693,5820.4500000000035,2.2650539130434773,446
2011-02-04,CA_1,CA,HOBBIES,Friday,7,2,2011,NA,NA,NA,NA,1,0,0,346,920.0700000000006,3.074899328859064,93
2011-02-04,CA_1,CA,HOUSEHOLD,Friday,7,2,2011,NA,NA,NA,NA,1,0,0,411,1806.2400000000036,4.915932773109231,198
2011-02-05,CA_1,CA,FOODS,Saturday,1,2,2011,NA,NA,NA,NA,1,0,1,3962,8551.459999999992,2.220907990314766,495
2011-02-05,CA_1,CA,HOBBIES,Saturday,1,2,2011,NA,NA,NA,NA,1,0,1,769,1696.9000000000005,2.4444069767441854,130
2011-02-05,CA_1,CA,HOUSEHOLD,Saturday,1,2,2011,NA,NA,NA,NA,1,0,1,706,3127.0399999999945,4.780482062780251,242
2011-02-06,CA_1,CA,FOODS,Sunday,2,2,2011,SuperBowl,Sporting,NA,NA,1,1,1,3418,7435.859999999992,2.2526409330741415,480
2011-02-06,CA_1,CA,HOBBIES,Sunday,2,2,2011,SuperBowl,Sporting,NA,NA,1,1,1,432,1064.8700000000006,2.895135135135138,98
