date,cat_id,model,predicted,actual,residual,absolute_error,squared_error,absolute_percentage_error,model_rank,is_best_model
2016-04-25,FOODS,ETS,2938.448251824604,2893,-45.448251824604085,45.448251824604085,2065.5435939126287,1.570973101438095,1,TRUE
2016-04-26,FOODS,ETS,2635.775523744601,2518,-117.77552374460083,117.77552374460083,13871.073993315034,4.677344072462305,1,TRUE
2016-04-27,FOODS,ETS,2588.4329295253237,2467,-121.43292952532374,121.43292952532374,14745.956373102243,4.922291427860711,1,TRUE
2016-04-28,FOODS,ETS,2580.198898044598,2446,-134.19889804459808,134.19889804459808,18009.34423638443,5.486463534120936,1,TRUE
2016-04-29,FOODS,ETS,2931.3990996892835,3032,100.6009003107165,100.6009003107165,10120.541143326718,3.3179716461318107,1,TRUE
2016-04-30,FOODS,ETS,3773.7650297565087,3950,176.23497024349126,176.23497024349126,31058.76473672425,4.461644816290918,1,TRUE
2016-05-01,FOODS,ETS,3909.611744127743,4254,344.3882558722571,344.3882558722571,118603.27078273523,8.095633659432465,1,TRUE
2016-05-02,FOODS,ETS,2938.448251824604,3278,339.5517481753959,339.5517481753959,115295.38968896748,10.358503605106648,1,TRUE
2016-05-03,FOODS,ETS,2635.775523744601,2997,361.22447625539917,361.22447625539917,130483.12224598744,12.052868743923897,1,TRUE
2016-05-04,FOODS,ETS,2588.4329295253237,2840,251.56707047467626,251.56707047467626,63285.99094721073,8.857995439249164,1,TRUE
2016-05-05,FOODS,ETS,2580.198898044598,2735,154.80110195540192,154.80110195540192,23963.38116660674,5.660003727802629,1,TRUE
2016-05-06,FOODS,ETS,2931.3990996892835,3303,371.6009003107165,371.6009003107165,138087.22911173507,11.250405701202437,1,TRUE
2016-05-07,FOODS,ETS,3773.7650297565087,4106,332.23497024349126,332.23497024349126,110380.07545269352,8.091450809632033,1,TRUE
2016-05-08,FOODS,ETS,3909.611744127743,3630,-279.6117441277429,279.6117441277429,78182.72745415836,7.702802868532863,1,TRUE
2016-05-09,FOODS,ETS,2938.448251824604,3245,306.5517481753959,306.5517481753959,93973.97430939136,9.446895167192478,1,TRUE
