date,cat_id,model,actual,predicted,residual,absolute_error,squared_error,absolute_percentage_error,model_rank,is_best_model
2016-04-25,FOODS,ETS,2893,2938.448251824604,-45.448251824604085,45.448251824604085,2065.5435939126287,1.570973101438095,1,TRUE
2016-04-26,FOODS,ETS,2518,2635.775523744601,-117.77552374460083,117.77552374460083,13871.073993315034,4.677344072462305,1,TRUE
2016-04-27,FOODS,ETS,2467,2588.4329295253237,-121.43292952532374,121.43292952532374,14745.956373102243,4.922291427860711,1,TRUE
2016-04-28,FOODS,ETS,2446,2580.198898044598,-134.19889804459808,134.19889804459808,18009.34423638443,5.486463534120936,1,TRUE
2016-04-29,FOODS,ETS,3032,2931.3990996892835,100.6009003107165,100.6009003107165,10120.541143326718,3.3179716461318107,1,TRUE
2016-04-30,FOODS,ETS,3950,3773.7650297565087,176.23497024349126,176.23497024349126,31058.76473672425,4.461644816290918,1,TRUE
2016-05-01,FOODS,ETS,4254,3909.611744127743,344.3882558722571,344.3882558722571,118603.27078273523,8.095633659432465,1,TRUE
2016-05-02,FOODS,ETS,3278,2938.448251824604,339.5517481753959,339.5517481753959,115295.38968896748,10.358503605106648,1,TRUE
2016-05-03,FOODS,ETS,2997,2635.775523744601,361.22447625539917,361.22447625539917,130483.12224598744,12.052868743923897,1,TRUE
2016-05-04,FOODS,ETS,2840,2588.4329295253237,251.56707047467626,251.56707047467626,63285.99094721073,8.857995439249164,1,TRUE
2016-05-05,FOODS,ETS,2735,2580.198898044598,154.80110195540192,154.80110195540192,23963.38116660674,5.660003727802629,1,TRUE
2016-05-06,FOODS,ETS,3303,2931.3990996892835,371.6009003107165,371.6009003107165,138087.22911173507,11.250405701202437,1,TRUE
2016-05-07,FOODS,ETS,4106,3773.7650297565087,332.23497024349126,332.23497024349126,110380.07545269352,8.091450809632033,1,TRUE
2016-05-08,FOODS,ETS,3630,3909.611744127743,-279.6117441277429,279.6117441277429,78182.72745415836,7.702802868532863,1,TRUE
2016-05-09,FOODS,ETS,3245,2938.448251824604,306.5517481753959,306.5517481753959,93973.97430939136,9.446895167192478,1,TRUE
2016-05-10,FOODS,ETS,2896,2635.775523744601,260.22447625539917,260.22447625539917,67716.7780423968,8.985651804399144,1,TRUE
2016-05-11,FOODS,ETS,2687,2588.4329295253237,98.56707047467626,98.56707047467626,9715.467381959796,3.6682943980154916,1,TRUE
2016-05-12,FOODS,ETS,2663,2580.198898044598,82.80110195540192,82.80110195540192,6856.022485028863,3.109316633698908,1,TRUE
2016-05-13,FOODS,ETS,3365,2931.3990996892835,433.6009003107165,433.6009003107165,188009.7407502639,12.885613679367502,1,TRUE
2016-05-14,FOODS,ETS,4046,3773.7650297565087,272.23497024349126,272.23497024349126,74111.87902347457,6.7284965458104615,1,TRUE
2016-05-15,FOODS,ETS,4717,3909.611744127743,807.3882558722571,807.3882558722571,651875.7957204453,17.11656255824162,1,TRUE
2016-05-16,FOODS,ETS,3198,2938.448251824604,259.5517481753959,259.5517481753959,67367.10998090413,8.116064670900434,1,TRUE
2016-05-17,FOODS,ETS,2794,2635.775523744601,158.22447625539917,158.22447625539917,25034.984886295377,5.663009171632039,1,TRUE
2016-05-18,FOODS,ETS,2816,2588.4329295253237,227.56707047467626,227.56707047467626,51786.77156442627,8.081216991288219,1,TRUE
2016-05-19,FOODS,ETS,2854,2580.198898044598,273.8011019554019,273.8011019554019,74967.0434319924,9.593591519110088,1,TRUE
2016-05-20,FOODS,ETS,2993,2931.3990996892835,61.6009003107165,61.6009003107165,3794.670919090832,2.0581657303948044,1,TRUE
2016-05-21,FOODS,ETS,3783,3773.7650297565087,9.2349702434912615,9.2349702434912615,85.28467539816904,0.24411763794584354,1,TRUE
2016-05-22,FOODS,ETS,4327,3909.611744127743,417.3882558722571,417.3882558722571,174212.95614008477,9.646134871094455,1,TRUE
2016-04-25,FOODS,Seasonal Naive,2893,2886,7,7,49,0.24196335983408226,3,FALSE
2016-04-26,FOODS,Seasonal Naive,2518,2488,30,30,900,1.1914217633042097,3,FALSE
2016-04-27,FOODS,Seasonal Naive,2467,2490,-23,23,529,0.9323064450749898,3,FALSE
2016-04-28,FOODS,Seasonal Naive,2446,2533,-87,87,7569,3.5568274734260017,3,FALSE
2016-04-29,FOODS,Seasonal Naive,3032,2960,72,72,5184,2.3746701846965697,3,FALSE
2016-04-30,FOODS,Seasonal Naive,3950,3655,295,295,87025,7.468354430379747,3,FALSE
2016-05-01,FOODS,Seasonal Naive,4254,4053,201,201,40401,4.724964739069112,3,FALSE
2016-05-02,FOODS,Seasonal Naive,3278,2886,392,392,153664,11.958511287370348,3,FALSE
2016-05-03,FOODS,Seasonal Naive,2997,2488,509,509,259081,16.98365031698365,3,FALSE
2016-05-04,FOODS,Seasonal Naive,2840,2490,350,350,122500,12.323943661971832,3,FALSE
2016-05-05,FOODS,Seasonal Naive,2735,2533,202,202,40804,7.385740402193784,3,FALSE
2016-05-06,FOODS,Seasonal Naive,3303,2960,343,343,117649,10.38449894035725,3,FALSE
2016-05-07,FOODS,Seasonal Naive,4106,3655,451,451,203401,10.98392596200682,3,FALSE
2016-05-08,FOODS,Seasonal Naive,3630,4053,-423,423,178929,11.652892561983471,3,FALSE
2016-05-09,FOODS,Seasonal Naive,3245,2886,359,359,128881,11.063174114021573,3,FALSE
2016-05-10,FOODS,Seasonal Naive,2896,2488,408,408,166464,14.088397790055248,3,FALSE
2016-05-11,FOODS,Seasonal Naive,2687,2490,197,197,38809,7.331596576107183,3,FALSE
2016-05-12,FOODS,Seasonal Naive,2663,2533,130,130,16900,4.88171235448742,3,FALSE
2016-05-13,FOODS,Seasonal Naive,3365,2960,405,405,164025,12.035661218424963,3,FALSE
2016-05-14,FOODS,Seasonal Naive,4046,3655,391,391,152881,9.663865546218489,3,FALSE
2016-05-15,FOODS,Seasonal Naive,4717,4053,664,664,440896,14.076743693025229,3,FALSE
2016-05-16,FOODS,Seasonal Naive,3198,2886,312,312,97344,9.75609756097561,3,FALSE
2016-05-17,FOODS,Seasonal Naive,2794,2488,306,306,93636,10.952040085898354,3,FALSE
2016-05-18,FOODS,Seasonal Naive,2816,2490,326,326,106276,11.576704545454545,3,FALSE
2016-05-19,FOODS,Seasonal Naive,2854,2533,321,321,103041,11.247372109320253,3,FALSE
2016-05-20,FOODS,Seasonal Naive,2993,2960,33,33,1089,1.1025726695623121,3,FALSE
2016-05-21,FOODS,Seasonal Naive,3783,3655,128,128,16384,3.3835580227332804,3,FALSE
2016-05-22,FOODS,Seasonal Naive,4327,4053,274,274,75076,6.332331869655651,3,FALSE
2016-04-25,FOODS,XGBoost,2893,2663.8291015625,229.1708984375,229.1708984375,52519.30069065094,7.921565794590391,2,FALSE
2016-04-26,FOODS,XGBoost,2518,2426.79150390625,91.20849609375,91.20849609375,8318.989759683609,3.622259574811358,2,FALSE
2016-04-27,FOODS,XGBoost,2467,2300.295166015625,166.704833984375,166.704833984375,27790.50167375803,6.757390919512566,2,FALSE
2016-04-28,FOODS,XGBoost,2446,2353.751220703125,92.248779296875,92.248779296875,8509.837281763554,3.771413707967089,2,FALSE
